"lnm_rate","treated","state","year"
-7.44023180007935,0,69,1927
-11.092752456665,1,69,1928
-7.48376703262329,0,69,1928
-10.9169540405273,1,69,1929
-7.58896017074585,0,69,1929
-11.1291370391846,1,69,1930
-7.73991584777832,0,69,1930
-11.4797677993774,1,69,1931
-7.75407409667969,0,69,1931
-11.8504028320312,1,69,1932
-7.90191030502319,0,69,1932
-10.5142440795898,1,69,1933
-7.94929504394531,0,69,1933
-10.6456089019775,1,69,1934
-7.94592666625977,0,69,1934
-10.7925395965576,1,69,1935
-7.98773670196533,0,69,1935
-10.9599123001099,1,69,1936
-7.93408155441284,0,69,1936
-11.3784265518188,1,70,1937
-7.96343564987183,0,70,1937
-11.5736293792725,1,70,1938
-8.14287376403809,0,70,1938
-12.0971727371216,1,70,1939
-8.11127948760986,0,70,1939
-13.2083425521851,1,70,1940
-8.2077579498291,0,70,1940
-12.842604637146,1,70,1941
-8.27479076385498,0,70,1941
-12.8808145523071,1,70,1942
-8.2789831161499,0,70,1942
-11.9367876052856,1,70,1943
-8.42524242401123,0,70,1943
-10.1943368911743,1,71,1925
-7.13643789291382,0,71,1925
-10.4361486434937,1,71,1926
-7.1328501701355,0,71,1926
-10.4987773895264,1,71,1927
-7.22573614120483,0,71,1927
-10.5642604827881,1,71,1928
-7.24161529541016,0,71,1928
-10.5987558364868,1,71,1929
-7.32002687454224,0,71,1929
-10.8655977249146,1,71,1930
-7.38619947433472,0,71,1930
-10.6671895980835,1,71,1931
-7.42703104019165,0,71,1931
-10.5176944732666,1,71,1932
-7.48985004425049,0,71,1932
-10.4575681686401,1,71,1933
-7.55414009094238,0,71,1933
-10.6404752731323,1,71,1934
-7.57913255691528,0,71,1934
-10.7810344696045,1,71,1935
-7.65220165252686,0,71,1935
-11.0093631744385,1,71,1936
-7.63887929916382,0,71,1936
-11.0244970321655,1,72,1937
-7.60145616531372,0,72,1937
-11.2740612030029,1,72,1938
-7.71734237670898,0,72,1938
-11.994197845459,1,72,1939
-7.75393295288086,0,72,1939
-12.2365598678589,1,72,1940
-7.76183080673218,0,72,1940
-12.8179788589478,1,72,1941
-7.77958393096924,0,72,1941
-12.4062614440918,1,72,1942
-7.78009366989136,0,72,1942
-12.6918277740479,1,72,1943
-7.81196260452271,0,72,1943
-10.8135232925415,1,73,1925
-7.04519319534302,0,73,1925
-12.0049610137939,1,73,1926
-7.17864942550659,0,73,1926
-10.6958265304565,1,73,1927
-7.15777015686035,0,73,1927
-10.6437520980835,1,73,1928
-7.21786260604858,0,73,1928
-11.0307569503784,1,73,1929
-7.27167272567749,0,73,1929
-11.4949026107788,1,73,1930
-7.27120208740234,0,73,1930
-10.9596748352051,1,73,1931
-7.37384414672852,0,73,1931
-10.2294607162476,1,73,1932
-7.53213453292847,0,73,1932
-11.2548532485962,1,73,1933
-7.58560943603516,0,73,1933
-12.0695104598999,1,73,1934
-7.70960140228271,0,73,1934
-12.3609056472778,1,73,1935
-7.61597299575806,0,73,1935
-10.8982677459717,1,73,1936
-7.67325687408447,0,73,1936
-11.0690069198608,1,74,1937
-7.70171165466309,0,74,1937
-12.3719625473022,1,74,1938
-7.85017395019531,0,74,1938
-7.89073705673218,0,74,1939
-12.7847318649292,1,74,1940
-8.01404666900635,0,74,1940
-13.4888591766357,1,74,1941
-7.87938737869263,0,74,1941
-12.8065729141235,1,74,1942
-7.86493015289307,0,74,1942
-12.4118518829346,1,74,1943
-7.82010459899902,0,74,1943
-12.4068212509155,1,75,1925
-6.9184741973877,0,75,1925
-11.9580478668213,1,75,1926
-6.94016551971436,0,75,1926
-12.413233757019,1,75,1927
-7.01313352584839,0,75,1927
-12.0597496032715,1,75,1928
-7.04114580154419,0,75,1928
-11.5929260253906,1,75,1929
-7.1205735206604,0,75,1929
-11.5960969924927,1,75,1930
-7.15491724014282,0,75,1930
-11.4334945678711,1,75,1931
-7.21476078033447,0,75,1931
-11.989200592041,1,75,1932
-7.30119466781616,0,75,1932
-11.831226348877,1,75,1933
-7.39857959747314,0,75,1933
-12.1025886535645,1,75,1934
-7.39125823974609,0,75,1934
-12.4681806564331,1,75,1935
-7.50733661651611,0,75,1935
-11.8579807281494,1,75,1936
-7.48658752441406,0,75,1936
-12.4857816696167,1,76,1937
-7.55542707443237,0,76,1937
-12.2431526184082,1,76,1938
-7.59983015060425,0,76,1938
-13.0626926422119,1,76,1939
-7.7072868347168,0,76,1939
-13.7643775939941,1,76,1940
-7.65624141693115,0,76,1940
-13.0831422805786,1,76,1941
-7.72185039520264,0,76,1941
-7.79534769058228,0,76,1942
-13.7996969223022,1,76,1943
-7.96050930023193,0,76,1943
-11.2368402481079,1,77,1932
-7.61398220062256,0,77,1932
-11.2295093536377,1,77,1933
-7.77074241638184,0,77,1933
-11.3399076461792,1,77,1934
-7.89788866043091,0,77,1934
-10.4674701690674,1,77,1935
-7.81719827651978,0,77,1935
-10.1855382919312,1,77,1936
-7.85923624038696,0,77,1936
-10.4011297225952,1,78,1937
-7.79474258422852,0,78,1937
-11.443341255188,1,78,1938
-7.91698122024536,0,78,1938
-11.1843595504761,1,78,1939
-8.13455963134766,0,78,1939
-12.2752437591553,1,78,1940
-8.13210964202881,0,78,1940
-13.3753757476807,1,78,1941
-8.12310218811035,0,78,1941
-13.3768930435181,1,78,1942
-8.15653705596924,0,78,1942
-11.9921140670776,1,78,1943
-8.20792388916016,0,78,1943
-10.8328742980957,1,79,1927
-6.63147020339966,0,79,1927
-11.0181694030762,1,79,1928
-6.63763189315796,0,79,1928
-10.6077785491943,1,79,1929
-6.70928478240967,0,79,1929
-11.0637969970703,1,79,1930
-6.7308201789856,0,79,1930
-10.6298599243164,1,79,1931
-6.7951226234436,0,79,1931
-11.3987903594971,1,79,1932
-6.89344072341919,0,79,1932
-10.8408164978027,1,79,1933
-6.94745683670044,0,79,1933
-10.7616634368896,1,79,1934
-7.01540994644165,0,79,1934
-11.3672485351562,1,79,1935
-7.03241205215454,0,79,1935
-11.6656923294067,1,79,1936
-6.99325275421143,0,79,1936
-11.8098697662354,1,80,1937
-7.05259227752686,0,80,1937
-11.7294330596924,1,80,1938
-7.15024948120117,0,80,1938
-12.1027631759644,1,80,1939
-7.12430667877197,0,80,1939
-11.9412298202515,1,80,1940
-7.19858884811401,0,80,1940
-12.1258888244629,1,80,1941
-7.14099836349487,0,80,1941
-12.3461742401123,1,80,1942
-7.2724437713623,0,80,1942
-12.6210269927979,1,80,1943
-7.33377075195312,0,80,1943
-11.3171272277832,1,81,1933
-7.23935699462891,0,81,1933
-11.4742441177368,1,81,1934
-7.31834125518799,0,81,1934
-11.5495386123657,1,81,1935
-7.28376007080078,0,81,1935
-11.4777965545654,1,81,1936
-7.25324678421021,0,81,1936
-11.7960453033447,1,82,1937
-7.28238391876221,0,82,1937
-12.2216291427612,1,82,1938
-7.33079481124878,0,82,1938
-12.6692190170288,1,82,1939
-7.39545059204102,0,82,1939
-12.8409862518311,1,82,1940
-7.43355131149292,0,82,1940
-13.9024391174316,1,82,1941
-7.47487211227417,0,82,1941
-12.7693653106689,1,82,1942
-7.52234125137329,0,82,1942
-13.5358095169067,1,82,1943
-7.62380886077881,0,82,1943
-11.6923713684082,1,83,1925
-8.07471942901611,0,83,1925
-11.7045097351074,1,83,1926
-7.93751239776611,0,83,1926
-10.058274269104,1,83,1927
-8.13995170593262,0,83,1927
-10.5496978759766,1,83,1928
-8.11743545532227,0,83,1928
-10.5614099502563,1,83,1929
-8.19910526275635,0,83,1929
-10.4988784790039,1,83,1930
-8.15432929992676,0,83,1930
-10.7483673095703,1,83,1931
-8.40132999420166,0,83,1931
-10.3213062286377,1,83,1932
-8.44499015808105,0,83,1932
-10.0716676712036,1,83,1933
-8.44421100616455,0,83,1933
-11.0913925170898,1,83,1934
-8.47035312652588,0,83,1934
-9.0517578125,1,83,1935
-8.6790828704834,0,83,1935
-9.40269660949707,1,83,1936
-8.47735595703125,0,83,1936
-10.9975919723511,1,84,1937
-8.46742820739746,0,84,1937
-11.5932464599609,1,84,1938
-8.59751415252686,0,84,1938
-12.1118783950806,1,84,1939
-8.65661430358887,0,84,1939
-11.6087989807129,1,84,1940
-8.72960090637207,0,84,1940
-9.03841018676758,0,84,1941
-11.8810701370239,1,84,1942
-8.86064529418945,0,84,1942
-13.291051864624,1,84,1943
-9.04255676269531,0,84,1943
-10.0746908187866,1,85,1925
-7.25728797912598,0,85,1925
-9.89438438415527,1,85,1926
-7.14284944534302,0,85,1926
-10.3888721466064,1,85,1927
-7.27737951278687,0,85,1927
-10.997015953064,1,85,1928
-7.21282625198364,0,85,1928
-10.9990196228027,1,85,1929
-7.26931762695312,0,85,1929
-10.4901933670044,1,85,1930
-7.32471799850464,0,85,1930
-11.1832342147827,1,85,1931
-7.3162088394165,0,85,1931
-10.8466567993164,1,85,1932
-7.44545936584473,0,85,1932
-10.7130193710327,1,85,1933
-7.62197732925415,0,85,1933
-11.0005960464478,1,85,1934
-7.5453314781189,0,85,1934
-10.7128086090088,1,85,1935
-7.71707582473755,0,85,1935
-11.6935319900513,1,85,1936
-7.70454740524292,0,85,1936
-12.7920379638672,1,86,1937
-7.54501438140869,0,86,1937
-12.0987854003906,1,86,1938
-7.78798627853394,0,86,1938
-11.1823883056641,1,86,1939
-7.87184572219849,0,86,1939
-12.7917213439941,1,86,1940
-7.80128812789917,0,86,1940
-12.1037149429321,1,86,1941
-7.90651273727417,0,86,1941
-12.8019771575928,1,86,1942
-8.08347797393799,0,86,1942
-12.1139183044434,1,86,1943
-8.02794170379639,0,86,1943
-10.9629364013672,1,87,1925
-6.76996088027954,0,87,1925
-11.2155237197876,1,87,1926
-6.79781293869019,0,87,1926
-11.3186922073364,1,87,1927
-6.8480396270752,0,87,1927
-11.432599067688,1,87,1928
-6.86905193328857,0,87,1928
-10.911190032959,1,87,1929
-6.9046835899353,0,87,1929
-11.3678379058838,1,87,1930
-6.98269128799438,0,87,1930
-11.0469923019409,1,87,1931
-6.98876285552979,0,87,1931
-11.2869701385498,1,87,1932
-7.03801345825195,0,87,1932
-10.7059001922607,1,87,1933
-7.10907745361328,0,87,1933
-10.8096170425415,1,87,1934
-7.16637086868286,0,87,1934
-11.4934339523315,1,87,1935
-7.17389631271362,0,87,1935
-11.9283037185669,1,87,1936
-7.20508909225464,0,87,1936
-12.5741806030273,1,88,1937
-7.30118083953857,0,88,1937
-12.5839719772339,1,88,1938
-7.28232669830322,0,88,1938
-12.3929977416992,1,88,1939
-7.40256500244141,0,88,1939
-12.4026012420654,1,88,1940
-7.45126533508301,0,88,1940
-12.4262533187866,1,88,1941
